"EntryId","EntryDate","Client","ProjectCode","Consultant","TaskCode","Hours","BillRate","Amount","IsBillable","BillingStatus","Notes"
"TB-000001","2026-08-18","Acme Corp","PRJ-535","M. Rivera","QA Regression","2.77","108","299.16","True","Rejected","Work item 3431"
"TB-000002","2026-04-29","Contoso Ltd","PRJ-109","J. Carter","API Integration","4.05","129","522.45","True","Draft","Work item 1457"
"TB-000003","2026-06-30","Acme Corp","PRJ-881","S. Patel","QA Regression","1.96","136","266.56","True","Paid","Work item 9031"
"TB-000004","2026-06-24","Fabrikam Inc","PRJ-630","D. Kim","QA Regression","5.79","110","636.9","True","Paid","Work item 7874"
"TB-000005","2026-06-30","Northwind LLC","PRJ-533","D. Kim","QA Regression","2.09","214","447.26","False","Paid","Work item 9854"
"TB-000006","2026-05-20","Acme Corp","PRJ-583","S. Patel","QA Regression","6.23","171","1065.33","True","Draft","Work item 5939"
"TB-000007","2026-06-19","Acme Corp","PRJ-607","A. Singh","Report Build","5.69","138","785.22","False","Rejected","Work item 3961"
"TB-000008","2026-08-17","Northwind LLC","PRJ-854","A. Singh","Report Build","3.36","131","440.16","False","Paid","Work item 3342"
"TB-000009","2026-07-03","Fabrikam Inc","PRJ-215","J. Carter","API Integration","2.8","179","501.2","True","Submitted","Work item 7042"
"TB-000010","2026-05-30","Acme Corp","PRJ-164","S. Patel","UI Prototype","7.73","184","1422.32","True","Rejected","Work item 2763"
"TB-000011","2026-07-27","Contoso Ltd","PRJ-641","M. Rivera","UI Prototype","6.41","143","916.63","True","Submitted","Work item 3713"
"TB-000012","2026-07-30","BlueYonder Co","PRJ-318","S. Patel","Report Build","7.96","169","1345.24","True","Rejected","Work item 5494"
"TB-000013","2026-05-03","Acme Corp","PRJ-428","D. Kim","QA Regression","7.31","145","1059.95","True","Submitted","Work item 1204"
"TB-000014","2026-07-20","Contoso Ltd","PRJ-524","S. Patel","UI Prototype","6.77","161","1089.97","False","Draft","Work item 7368"
"TB-000015","2026-08-15","BlueYonder Co","PRJ-708","A. Singh","UI Prototype","4.15","210","871.5","True","Rejected","Work item 1693"
"TB-000016","2026-07-09","Northwind LLC","PRJ-359","A. Singh","UI Prototype","6.96","171","1190.16","False","Draft","Work item 9624"
"TB-000017","2026-08-05","Northwind LLC","PRJ-518","M. Rivera","API Integration","6.48","167","1082.16","True","Approved","Work item 4328"
"TB-000018","2026-06-17","Northwind LLC","PRJ-112","S. Patel","API Integration","4.51","213","960.63","False","Approved","Work item 1216"
"TB-000019","2026-08-10","Northwind LLC","PRJ-244","J. Carter","Data Cleanup","1.37","193","264.41","True","Draft","Work item 2160"
"TB-000020","2026-05-04","Northwind LLC","PRJ-918","S. Patel","QA Regression","3.42","139","475.38","True","Approved","Work item 3231"
"TB-000021","2026-07-09","Contoso Ltd","PRJ-587","S. Patel","Data Cleanup","0.58","193","111.94","False","Submitted","Work item 3796"
"TB-000022","2026-06-18","Acme Corp","PRJ-857","S. Patel","UI Prototype","7.82","149","1165.18","True","Draft","Work item 3412"
"TB-000023","2026-06-23","Northwind LLC","PRJ-981","J. Carter","Data Cleanup","2.39","130","310.7","True","Submitted","Work item 2234"
"TB-000024","2026-06-23","Northwind LLC","PRJ-111","A. Singh","UI Prototype","2.07","161","333.27","True","Paid","Work item 3231"
"TB-000025","2026-06-01","BlueYonder Co","PRJ-237","S. Patel","Report Build","1.45","92","133.4","True","Submitted","Work item 9269"
"TB-000026","2026-06-03","Northwind LLC","PRJ-995","D. Kim","API Integration","3.39","194","657.66","False","Approved","Work item 4673"
"TB-000027","2026-05-24","Acme Corp","PRJ-190","M. Rivera","Report Build","7.26","184","1335.84","True","Draft","Work item 5800"
"TB-000028","2026-07-21","BlueYonder Co","PRJ-226","J. Carter","QA Regression","4.79","199","953.21","True","Draft","Work item 1629"
"TB-000029","2026-05-04","Contoso Ltd","PRJ-775","A. Singh","Report Build","2.71","101","273.71","True","Submitted","Work item 4046"
"TB-000030","2026-08-08","Northwind LLC","PRJ-411","A. Singh","API Integration","0.71","129","91.59","True","Paid","Work item 7660"
"TB-000031","2026-05-13","BlueYonder Co","PRJ-412","M. Rivera","UI Prototype","7.65","156","1193.4","True","Draft","Work item 8178"
"TB-000032","2026-05-04","Contoso Ltd","PRJ-202","D. Kim","QA Regression","0.82","171","140.22","True","Submitted","Work item 7346"
"TB-000033","2026-08-18","Fabrikam Inc","PRJ-554","A. Singh","QA Regression","4.55","172","782.6","False","Approved","Work item 7767"
"TB-000034","2026-05-14","Contoso Ltd","PRJ-204","D. Kim","API Integration","7.37","95","700.15","False","Draft","Work item 2962"
"TB-000035","2026-07-27","Contoso Ltd","PRJ-366","A. Singh","API Integration","7","91","637","True","Draft","Work item 6084"
"TB-000036","2026-08-06","Acme Corp","PRJ-280","A. Singh","UI Prototype","4.94","212","1047.28","False","Submitted","Work item 1981"
"TB-000037","2026-07-19","Northwind LLC","PRJ-892","S. Patel","QA Regression","6.66","152","1012.32","True","Submitted","Work item 4149"
"TB-000038","2026-07-26","Acme Corp","PRJ-853","M. Rivera","UI Prototype","4.4","181","796.4","True","Submitted","Work item 2094"
"TB-000039","2026-05-11","BlueYonder Co","PRJ-243","S. Patel","Report Build","6.83","85","580.55","True","Submitted","Work item 8264"
"TB-000040","2026-05-29","BlueYonder Co","PRJ-456","A. Singh","QA Regression","2.66","98","260.68","True","Approved","Work item 3980"
"TB-000041","2026-07-08","Fabrikam Inc","PRJ-141","S. Patel","QA Regression","4.93","201","990.93","True","Submitted","Work item 7381"
"TB-000042","2026-05-25","Northwind LLC","PRJ-338","S. Patel","QA Regression","7.28","203","1477.84","True","Draft","Work item 9202"
"TB-000043","2026-07-17","Contoso Ltd","PRJ-155","M. Rivera","Report Build","0.83","88","73.04","True","Paid","Work item 5250"
"TB-000044","2026-08-22","Acme Corp","PRJ-576","S. Patel","QA Regression","6.12","150","918","False","Rejected","Work item 3550"
"TB-000045","2026-06-22","Contoso Ltd","PRJ-912","M. Rivera","API Integration","2.55","212","540.6","True","Paid","Work item 6198"
"TB-000046","2026-05-25","Fabrikam Inc","PRJ-358","M. Rivera","UI Prototype","6.1","137","835.7","True","Paid","Work item 6616"
"TB-000047","2026-08-01","Fabrikam Inc","PRJ-962","M. Rivera","Report Build","7.17","142","1018.14","True","Paid","Work item 3556"
"TB-000048","2026-07-02","BlueYonder Co","PRJ-673","J. Carter","UI Prototype","2.09","156","326.04","True","Paid","Work item 6865"
"TB-000049","2026-06-19","Northwind LLC","PRJ-751","A. Singh","QA Regression","1.17","151","176.67","True","Paid","Work item 9657"
"TB-000050","2026-07-13","Northwind LLC","PRJ-454","S. Patel","QA Regression","3.81","181","689.61","True","Approved","Work item 5355"
"TB-000051","2026-05-21","Contoso Ltd","PRJ-429","A. Singh","Report Build","4.65","170","790.5","True","Draft","Work item 2693"
"TB-000052","2026-07-21","Acme Corp","PRJ-580","A. Singh","Report Build","1.05","181","190.05","True","Draft","Work item 6405"
"TB-000053","2026-05-06","Fabrikam Inc","PRJ-857","M. Rivera","Data Cleanup","5.73","152","870.96","False","Approved","Work item 8117"
"TB-000054","2026-07-21","Acme Corp","PRJ-188","M. Rivera","QA Regression","3.09","184","568.56","False","Rejected","Work item 5583"
"TB-000055","2026-07-16","Contoso Ltd","PRJ-898","D. Kim","UI Prototype","3.59","197","707.23","True","Paid","Work item 9961"
"TB-000056","2026-05-31","BlueYonder Co","PRJ-806","J. Carter","QA Regression","7.85","188","1475.8","False","Approved","Work item 8854"
"TB-000057","2026-07-07","Northwind LLC","PRJ-857","A. Singh","UI Prototype","0.79","191","150.89","False","Rejected","Work item 1692"
"TB-000058","2026-08-07","Contoso Ltd","PRJ-269","S. Patel","Data Cleanup","5.77","184","1061.68","True","Rejected","Work item 2024"
"TB-000059","2026-07-06","Contoso Ltd","PRJ-829","M. Rivera","Data Cleanup","0.96","207","198.72","True","Submitted","Work item 1393"
"TB-000060","2026-06-20","BlueYonder Co","PRJ-523","D. Kim","UI Prototype","6.08","171","1039.68","False","Paid","Work item 5981"
"TB-000061","2026-07-21","Fabrikam Inc","PRJ-363","A. Singh","QA Regression","2.78","120","333.6","False","Paid","Work item 9318"
"TB-000062","2026-07-31","Contoso Ltd","PRJ-829","J. Carter","API Integration","7.16","136","973.76","True","Approved","Work item 3383"
"TB-000063","2026-05-16","BlueYonder Co","PRJ-398","J. Carter","Data Cleanup","2.81","94","264.14","False","Draft","Work item 6070"
"TB-000064","2026-06-16","Northwind LLC","PRJ-828","D. Kim","QA Regression","3.74","94","351.56","True","Draft","Work item 6129"
"TB-000065","2026-06-13","Contoso Ltd","PRJ-240","A. Singh","UI Prototype","7.66","199","1524.34","False","Draft","Work item 4029"
"TB-000066","2026-06-05","Contoso Ltd","PRJ-320","A. Singh","UI Prototype","2.35","153","359.55","True","Submitted","Work item 3070"
"TB-000067","2026-08-11","Acme Corp","PRJ-542","S. Patel","Report Build","0.84","144","120.96","True","Paid","Work item 1145"
"TB-000068","2026-05-29","BlueYonder Co","PRJ-378","M. Rivera","UI Prototype","4.39","171","750.69","True","Paid","Work item 9758"
"TB-000069","2026-08-22","Fabrikam Inc","PRJ-385","S. Patel","API Integration","5.22","102","532.44","False","Draft","Work item 6221"
"TB-000070","2026-07-08","BlueYonder Co","PRJ-571","M. Rivera","QA Regression","3.23","120","387.6","True","Rejected","Work item 4045"
"TB-000071","2026-07-07","Acme Corp","PRJ-834","D. Kim","QA Regression","4.65","155","720.75","True","Draft","Work item 8086"
"TB-000072","2026-06-17","Northwind LLC","PRJ-640","S. Patel","UI Prototype","6.18","85","525.3","True","Rejected","Work item 6142"
"TB-000073","2026-05-14","Acme Corp","PRJ-685","A. Singh","API Integration","3.66","181","662.46","True","Submitted","Work item 8186"
"TB-000074","2026-06-24","Contoso Ltd","PRJ-477","J. Carter","QA Regression","5.88","92","540.96","True","Rejected","Work item 7418"
"TB-000075","2026-05-06","Northwind LLC","PRJ-839","A. Singh","QA Regression","1.54","162","249.48","False","Submitted","Work item 6453"
"TB-000076","2026-06-20","Northwind LLC","PRJ-925","S. Patel","QA Regression","1.17","133","155.61","True","Approved","Work item 6062"
"TB-000077","2026-06-27","Northwind LLC","PRJ-163","D. Kim","UI Prototype","3.18","87","276.66","False","Rejected","Work item 5482"
"TB-000078","2026-06-29","Acme Corp","PRJ-489","S. Patel","QA Regression","2","157","314","True","Submitted","Work item 3633"
"TB-000079","2026-07-07","Fabrikam Inc","PRJ-737","A. Singh","UI Prototype","4.68","114","533.52","False","Approved","Work item 6207"
"TB-000080","2026-07-08","Northwind LLC","PRJ-420","J. Carter","Data Cleanup","3.75","138","517.5","True","Draft","Work item 2082"
"TB-000081","2026-08-15","BlueYonder Co","PRJ-464","M. Rivera","Report Build","6.98","162","1130.76","True","Rejected","Work item 1671"
"TB-000082","2026-08-17","Acme Corp","PRJ-104","J. Carter","QA Regression","0.88","95","83.6","True","Paid","Work item 7405"
"TB-000083","2026-06-14","Northwind LLC","PRJ-158","S. Patel","Data Cleanup","1.96","129","252.84","False","Paid","Work item 3815"
"TB-000084","2026-07-08","Acme Corp","PRJ-485","S. Patel","Data Cleanup","6.17","118","728.06","True","Submitted","Work item 2428"
"TB-000085","2026-07-25","Contoso Ltd","PRJ-575","A. Singh","API Integration","4.03","100","403","True","Submitted","Work item 2967"
"TB-000086","2026-05-11","Contoso Ltd","PRJ-932","M. Rivera","Report Build","4.3","128","550.4","True","Paid","Work item 6391"
"TB-000087","2026-06-14","Contoso Ltd","PRJ-386","S. Patel","QA Regression","3.56","188","669.28","True","Paid","Work item 1205"
"TB-000088","2026-07-01","Contoso Ltd","PRJ-316","J. Carter","Data Cleanup","8","94","752","False","Rejected","Work item 7379"
"TB-000089","2026-05-23","Contoso Ltd","PRJ-824","M. Rivera","API Integration","4.09","212","867.08","True","Submitted","Work item 9038"
"TB-000090","2026-05-27","Fabrikam Inc","PRJ-774","D. Kim","UI Prototype","0.52","142","73.84","True","Draft","Work item 7529"
"TB-000091","2026-07-03","Northwind LLC","PRJ-296","M. Rivera","Report Build","5.56","139","772.84","True","Submitted","Work item 8621"
"TB-000092","2026-05-12","Acme Corp","PRJ-208","M. Rivera","Report Build","3.96","197","780.12","False","Paid","Work item 8935"
"TB-000093","2026-05-31","BlueYonder Co","PRJ-118","M. Rivera","API Integration","3.75","188","705","True","Paid","Work item 5808"
"TB-000094","2026-08-23","Acme Corp","PRJ-130","J. Carter","UI Prototype","4.68","141","659.88","True","Submitted","Work item 4348"
"TB-000095","2026-06-05","Northwind LLC","PRJ-487","J. Carter","UI Prototype","4.76","219","1042.44","True","Approved","Work item 3562"
"TB-000096","2026-05-13","Northwind LLC","PRJ-362","S. Patel","QA Regression","5.91","153","904.23","True","Submitted","Work item 6805"
"TB-000097","2026-06-12","Fabrikam Inc","PRJ-359","J. Carter","Report Build","1.28","103","131.84","True","Draft","Work item 1409"
"TB-000098","2026-06-07","Contoso Ltd","PRJ-381","M. Rivera","Data Cleanup","7.69","156","1199.64","True","Approved","Work item 8690"
"TB-000099","2026-08-08","Contoso Ltd","PRJ-831","J. Carter","UI Prototype","0.65","176","114.4","True","Rejected","Work item 2111"
"TB-000100","2026-08-05","Fabrikam Inc","PRJ-340","M. Rivera","API Integration","3.39","212","718.68","True","Draft","Work item 4466"
"TB-000101","2026-06-14","Contoso Ltd","PRJ-393","J. Carter","Report Build","3.03","192","581.76","True","Rejected","Work item 8721"
"TB-000102","2026-08-10","Contoso Ltd","PRJ-661","M. Rivera","Report Build","6.64","131","869.84","False","Rejected","Work item 3144"
"TB-000103","2026-05-04","BlueYonder Co","PRJ-694","J. Carter","API Integration","4.22","94","396.68","True","Draft","Work item 8929"
"TB-000104","2026-07-23","Acme Corp","PRJ-564","A. Singh","Data Cleanup","0.86","102","87.72","True","Draft","Work item 6574"
"TB-000105","2026-05-18","BlueYonder Co","PRJ-374","J. Carter","Report Build","1.97","98","193.06","True","Draft","Work item 8564"
"TB-000106","2026-08-16","BlueYonder Co","PRJ-899","A. Singh","Report Build","3.74","118","441.32","True","Rejected","Work item 3815"
"TB-000107","2026-07-20","Acme Corp","PRJ-828","D. Kim","Data Cleanup","6.7","208","1393.6","False","Rejected","Work item 4595"
"TB-000108","2026-04-27","Northwind LLC","PRJ-137","A. Singh","API Integration","3.11","141","438.51","True","Paid","Work item 6592"
"TB-000109","2026-05-15","Northwind LLC","PRJ-503","S. Patel","Data Cleanup","1.91","173","330.43","True","Draft","Work item 3245"
"TB-000110","2026-06-02","BlueYonder Co","PRJ-812","A. Singh","Report Build","3.24","140","453.6","True","Draft","Work item 6522"
"TB-000111","2026-05-22","Fabrikam Inc","PRJ-542","J. Carter","API Integration","7.71","187","1441.77","True","Paid","Work item 5465"
"TB-000112","2026-08-20","Northwind LLC","PRJ-212","J. Carter","Data Cleanup","0.61","204","124.44","True","Paid","Work item 1066"
"TB-000113","2026-05-09","Fabrikam Inc","PRJ-130","S. Patel","QA Regression","5.28","172","908.16","False","Approved","Work item 7861"
"TB-000114","2026-05-18","Acme Corp","PRJ-693","M. Rivera","Report Build","4.88","151","736.88","False","Rejected","Work item 4880"
